,Inflation_CPI
1999-10-01,169.3
2000-01-01,170.9
2000-04-01,172.7
2000-07-01,173.9
2000-10-01,175.6
2001-01-01,176.4
2001-04-01,177.4
2001-07-01,177.6
2001-10-01,177.7
2002-01-01,179.3
2002-04-01,180.0
2002-07-01,181.2
2002-10-01,182.6
2003-01-01,183.2
2003-04-01,183.7
2003-07-01,184.9
2003-10-01,186.3
2004-01-01,187.4
2004-04-01,189.1
2004-07-01,190.8
2004-10-01,191.8
2005-01-01,193.8
2005-04-01,194.7
2005-07-01,199.2
2005-10-01,199.4
2006-01-01,200.7
2006-04-01,202.7
2006-07-01,201.9
2006-10-01,203.574
2007-01-01,205.92
2007-04-01,207.338
2007-07-01,209.133
2007-10-01,212.495
2008-01-01,213.997
2008-04-01,218.61
2008-07-01,216.889
2008-10-01,212.174
2009-01-01,212.671
2009-04-01,214.469
2009-07-01,216.385
